board_id,timestamp_us,qw,qi,qj,qk,ax,ay,az
1,1825059244,0.7864990234375,-0.35101318359375,-0.41229248046875,0.29705810546875,-0.16796875,2.83984375,2.28515625
1,1825063291,0.7855224609375,-0.349853515625,-0.41290283203125,0.30010986328125,-0.16796875,2.83984375,2.28515625
1,1825071245,0.7841796875,-0.3470458984375,-0.41387939453125,0.3055419921875,-0.26171875,3.12109375,2.25
1,1825079251,0.7835693359375,-0.34521484375,-0.4144287109375,0.30841064453125,-0.24609375,3.22265625,2.2578125
1,1825083294,0.78265380859375,-0.3438720703125,-0.41510009765625,0.31134033203125,-0.24609375,3.22265625,2.2578125
1,1825091245,0.78143310546875,-0.3408203125,-0.41619873046875,0.3162841796875,-0.35546875,3.16796875,1.98828125
1,1825099245,0.781005859375,-0.3388671875,-0.41668701171875,0.3187255859375,-0.37890625,3.17578125,1.875
1,1825103291,0.78033447265625,-0.33746337890625,-0.417236328125,0.32110595703125,-0.37890625,3.17578125,1.875
1,1825111245,0.7796630859375,-0.33453369140625,-0.41796875,0.3248291015625,-0.484375,3.02734375,2.07421875
1,1825119245,0.77960205078125,-0.332763671875,-0.418212890625,0.32647705078125,-0.5078125,2.890625,2.2578125
1,1825123293,0.77935791015625,-0.33154296875,-0.41845703125,0.3280029296875,-0.5078125,2.890625,2.2578125
1,1825131248,0.779541015625,-0.32904052734375,-0.41845703125,0.33013916015625,-0.44921875,2.66015625,2.6328125
1,1825139245,0.7799072265625,-0.3275146484375,-0.4183349609375,0.3309326171875,-0.50390625,2.58203125,2.73046875
1,1825143289,0.780029296875,-0.3265380859375,-0.418212890625,0.3316650390625,-0.50390625,2.58203125,2.73046875
1,1825151245,0.78070068359375,-0.3243408203125,-0.41790771484375,0.33270263671875,-0.51171875,2.6953125,2.8671875
1,1825159276,0.7811279296875,-0.322998046875,-0.417724609375,0.33319091796875,-0.6328125,2.7734375,2.38671875
1,1825163290,0.78118896484375,-0.32208251953125,-0.417724609375,0.3338623046875,-0.6328125,2.7734375,2.38671875
1,1825171245,0.7813720703125,-0.32000732421875,-0.4178466796875,0.33526611328125,-0.9375,3.26953125,1.44140625
1,1825179245,0.78143310546875,-0.3187255859375,-0.41796875,0.3363037109375,-1.03125,3.31640625,1.16796875
1,1825186245,0.78131103515625,-0.31732177734375,-0.41815185546875,0.337646484375,-1.078125,3.26953125,1.2734375
1,1825189291,0.7808837890625,-0.31634521484375,-0.41845703125,0.339111328125,-1.078125,3.26953125,1.2734375
1,1825193300,0.78045654296875,-0.3154296875,-0.41876220703125,0.3406982421875,-1.078125,3.26953125,1.2734375
1,1825197291,0.7799072265625,-0.3143310546875,-0.41900634765625,0.342529296875,-1.078125,3.26953125,1.2734375
1,1825203245,0.78082275390625,-0.3109130859375,-0.41864013671875,0.34405517578125,-1.078125,2.77734375,1.79296875
1,1825211291,0.78033447265625,-0.30950927734375,-0.418701171875,0.34637451171875,-1.078125,2.77734375,1.79296875
1,1825214291,0.77996826171875,-0.3082275390625,-0.418701171875,0.34832763671875,-1.078125,2.77734375,1.79296875
1,1825218298,0.77947998046875,-0.30645751953125,-0.41876220703125,0.3509521484375,-1.078125,2.77734375,1.79296875
