timestamp_us,qw,qi,qj,qk,ax,ay,az
730540061,0.99957275390625,0.01904296875,-0.0125732421875,0.01922607421875,0.125,0.1171875,0.109375
730545061,0.99957275390625,0.01922607421875,-0.0125732421875,0.0191650390625,0.125,0.1171875,0.109375
730551061,0.99957275390625,0.0194091796875,-0.0126953125,0.0191650390625,-0.14453125,0.0234375,-0.00390625
730559061,0.99951171875,0.019775390625,-0.0128173828125,0.01910400390625,0.046875,-0.0546875,0.03515625
730566061,0.99951171875,0.01995849609375,-0.012939453125,0.01904296875,-0.03515625,-0.0625,-0.00390625
730570061,0.99951171875,0.0201416015625,-0.01300048828125,0.01898193359375,-0.03515625,-0.0625,-0.00390625
730577061,0.99951171875,0.02020263671875,-0.01300048828125,0.01898193359375,0.0390625,-0.0703125,-0.08203125
730581061,0.99951171875,0.02020263671875,-0.0130615234375,0.01898193359375,0.0390625,-0.0703125,-0.08203125
730584061,0.99951171875,0.02020263671875,-0.0130615234375,0.01904296875,0.0390625,-0.0703125,-0.08203125
730591061,0.99951171875,0.0201416015625,-0.0130615234375,0.01904296875,0.15625,-0.0703125,0.03515625
730599061,0.99951171875,0.02008056640625,-0.0130615234375,0.01904296875,0.078125,-0.14453125,0.03515625
730602061,0.99951171875,0.01995849609375,-0.0130615234375,0.01904296875,0.078125,-0.14453125,0.03515625
730605061,0.99951171875,0.01983642578125,-0.01312255859375,0.01910400390625,0.078125,-0.14453125,0.03515625
730612061,0.99951171875,0.019775390625,-0.01318359375,0.01910400390625,0.0703125,-0.17578125,0.109375
730616061,0.99951171875,0.0196533203125,-0.01324462890625,0.01904296875,0.0703125,-0.17578125,0.109375
730620061,0.99951171875,0.01959228515625,-0.0133056640625,0.01904296875,0.0703125,-0.17578125,0.109375
730624061,0.99951171875,0.01947021484375,-0.013427734375,0.01898193359375,0.0703125,-0.17578125,0.109375
730631061,0.99951171875,0.0194091796875,-0.01348876953125,0.01898193359375,0.03125,-0.0546875,-0.12109375
730640061,0.99957275390625,0.0191650390625,-0.01361083984375,0.01898193359375,-0.00390625,0.0234375,-0.1953125
730644061,0.99957275390625,0.01904296875,-0.01361083984375,0.01898193359375,-0.00390625,0.0234375,-0.1953125
730651061,0.99957275390625,0.0189208984375,-0.01361083984375,0.01904296875,-0.203125,-0.08203125,-0.34765625
730659061,0.99957275390625,0.01873779296875,-0.013427734375,0.01910400390625,-0.234375,-0.08203125,-0.34765625
730666061,0.99957275390625,0.0186767578125,-0.01336669921875,0.0191650390625,-0.12109375,0.0,-0.3125
730670061,0.99957275390625,0.0186767578125,-0.01312255859375,0.0191650390625,-0.12109375,0.0,-0.3125
730677061,0.99957275390625,0.01861572265625,-0.01300048828125,0.0191650390625,0.03125,-0.0390625,-0.1953125
730681061,0.99957275390625,0.01861572265625,-0.01275634765625,0.0191650390625,0.03125,-0.0390625,-0.1953125
730689061,0.99957275390625,0.01861572265625,-0.012451171875,0.0191650390625,-0.06640625,-0.11328125,-0.12109375
730692061,0.99957275390625,0.0185546875,-0.01226806640625,0.0191650390625,-0.06640625,-0.11328125,-0.12109375
730695061,0.99957275390625,0.0185546875,-0.0120849609375,0.01910400390625,-0.06640625,-0.11328125,-0.12109375
730699061,0.99957275390625,0.0185546875,-0.011962890625,0.01910400390625,-0.06640625,-0.11328125,-0.12109375
730706061,0.99957275390625,0.0185546875,-0.01190185546875,0.01904296875,-0.05078125,-0.19140625,-0.04296875
