timestamp_us,qw,qi,qj,qk
45695060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
45704060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
45715060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
45724060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
45735060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
45744060,0.99761962890625,0.0633544921875,-0.0201416015625,-0.01910400390625
392815060,0.99774169921875,0.06121826171875,-0.01995849609375,-0.01837158203125
392826060,0.99774169921875,0.06121826171875,-0.01995849609375,-0.01837158203125
392835060,0.99774169921875,0.06121826171875,-0.01995849609375,-0.01837158203125
392845060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392856060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392865060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392875060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392885060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392895060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392905060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392915060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392925060,0.99774169921875,0.061279296875,-0.01995849609375,-0.01837158203125
392935060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392945060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392955060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392965060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392975060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392985060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
392995060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393005060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393015060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393025060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393035060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393045060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393055060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
393065060,0.99774169921875,0.061279296875,-0.02001953125,-0.01837158203125
